dataset,missing_rate,comparison,mae_reduction,corr_gain,acc2_gain,acc2_gain_percent_point,f1_gain,f1_gain_percent_point
MOSEI,0.2,DARE-HME u=0.001 vs HME,0.0516,0.0805,0.0244,2.44,0.028,2.8
MOSEI,0.5,DARE-HME u=0.001 vs HME,0.117,0.1942,0.0741,7.41,0.0793,7.93
