missing_rate,model_version,seed_count,seeds,mae_mean,mae_std,corr_mean,corr_std,acc2_mean,acc2_std,f1_mean,f1_std
0.2,HME,3,1111/2222/5576,0.8683333333333333,0.042427860343568276,0.6992666666666666,0.022943699207698214,0.7798666666666666,0.019689167918765186,0.7784,0.01815185940888701
0.2,DARE-HME,3,1111/2222/5576,0.7495666666666666,0.014784225828001074,0.7708333333333334,0.006527122898592724,0.8148333333333334,0.005255790457517574,0.8137666666666666,0.005950070027599103
0.3,HME,3,1111/2222/5576,0.9320666666666666,0.025034043487485877,0.6459666666666667,0.011357963432470294,0.7419666666666668,0.010178572263993288,0.7412333333333333,0.00801332224070227
0.3,DARE-HME,3,1111/2222/5576,0.7738,0.024999399992799754,0.7704,0.00017320508075686865,0.8095333333333333,0.016935268918246735,0.8094333333333333,0.01626478814289734
0.5,HME,3,1111/2222/5576,1.1012000000000002,0.03585400953868345,0.5417333333333333,0.005770904030854536,0.6783,0.021232993194554586,0.6759,0.025173994518153126
0.5,DARE-HME,3,1111/2222/5576,0.8005333333333334,0.025396325193486825,0.738,0.0074357245780085094,0.7813333333333333,0.005255790457517632,0.7812,0.0059573484034426295
